activity_id,user_id,persona,activity_date,distance_km,pace_min_km,moving_time_sec
act_1_1,1,Weekend Warrior,2025-01-18 00:00:00,9.08,5.02,2736
act_1_2,1,Weekend Warrior,2025-01-19 00:00:00,12.46,5.5,4111
act_1_9,1,Weekend Warrior,2025-01-26 00:00:00,21.2,4.12,5241
act_1_15,1,Weekend Warrior,2025-02-01 00:00:00,14.08,4.89,4135
act_1_16,1,Weekend Warrior,2025-02-02 00:00:00,16.25,4.32,4211
act_1_22,1,Weekend Warrior,2025-02-08 00:00:00,19.47,5.89,6880
act_1_23,1,Weekend Warrior,2025-02-09 00:00:00,13.16,5.85,4617
act_1_29,1,Weekend Warrior,2025-02-15 00:00:00,4.54,6.15,1672
act_1_36,1,Weekend Warrior,2025-02-22 00:00:00,21.12,4.57,5787
act_1_37,1,Weekend Warrior,2025-02-23 00:00:00,8.21,4.93,2428
act_1_39,1,Weekend Warrior,2025-02-25 00:00:00,13.02,5.2,4064
act_1_50,1,Weekend Warrior,2025-03-08 00:00:00,13.57,4.25,3463
act_1_51,1,Weekend Warrior,2025-03-09 00:00:00,11.89,5.41,3859
act_1_56,1,Weekend Warrior,2025-03-14 00:00:00,14.72,4.96,4381
act_1_57,1,Weekend Warrior,2025-03-15 00:00:00,1.81,5.83,632
act_1_58,1,Weekend Warrior,2025-03-16 00:00:00,19.7,4.87,5750
act_1_64,1,Weekend Warrior,2025-03-22 00:00:00,15.18,5.04,4590
act_1_69,1,Weekend Warrior,2025-03-27 00:00:00,9.6,5.11,2943
act_1_71,1,Weekend Warrior,2025-03-29 00:00:00,15.89,5.27,5021
act_1_72,1,Weekend Warrior,2025-03-30 00:00:00,25.2,5.28,7982
act_1_78,1,Weekend Warrior,2025-04-05 00:00:00,11.77,5.02,3543
act_1_85,1,Weekend Warrior,2025-04-12 00:00:00,14.59,5.74,5026
act_1_86,1,Weekend Warrior,2025-04-13 00:00:00,16.94,4.5,4573
act_1_92,1,Weekend Warrior,2025-04-19 00:00:00,9.44,4.95,2803
act_1_93,1,Weekend Warrior,2025-04-20 00:00:00,13.97,4.48,3757
act_1_99,1,Weekend Warrior,2025-04-26 00:00:00,8.42,6.46,3261
act_1_100,1,Weekend Warrior,2025-04-27 00:00:00,12.48,3.91,2928
act_1_105,1,Weekend Warrior,2025-05-02 00:00:00,16.91,4.93,5001
act_1_106,1,Weekend Warrior,2025-05-03 00:00:00,14.16,6.21,5279
act_1_107,1,Weekend Warrior,2025-05-04 00:00:00,14.65,5.16,4530
act_1_111,1,Weekend Warrior,2025-05-08 00:00:00,1.0,4.92,295
act_1_113,1,Weekend Warrior,2025-05-10 00:00:00,11.18,3.83,2569
act_1_114,1,Weekend Warrior,2025-05-11 00:00:00,14.45,4.68,4055
act_2_1,2,Weekend Warrior,2025-01-12 00:00:00,20.67,4.93,6114
act_2_7,2,Weekend Warrior,2025-01-18 00:00:00,15.11,4.75,4308
act_2_8,2,Weekend Warrior,2025-01-19 00:00:00,14.47,5.16,4477
act_2_10,2,Weekend Warrior,2025-01-21 00:00:00,26.07,5.79,9059
act_2_12,2,Weekend Warrior,2025-01-23 00:00:00,14.73,5.73,5066
act_2_14,2,Weekend Warrior,2025-01-25 00:00:00,2.78,5.61,935
act_2_15,2,Weekend Warrior,2025-01-26 00:00:00,5.0,4.66,1397
act_2_19,2,Weekend Warrior,2025-01-30 00:00:00,9.62,4.81,2777
act_2_21,2,Weekend Warrior,2025-02-01 00:00:00,11.27,4.52,3054
act_2_28,2,Weekend Warrior,2025-02-08 00:00:00,4.42,5.72,1516
act_2_29,2,Weekend Warrior,2025-02-09 00:00:00,3.33,5.76,1151
act_2_32,2,Weekend Warrior,2025-02-12 00:00:00,12.6,4.84,3658
act_2_34,2,Weekend Warrior,2025-02-14 00:00:00,10.73,4.43,2852
act_2_35,2,Weekend Warrior,2025-02-15 00:00:00,13.1,6.37,5003
act_2_36,2,Weekend Warrior,2025-02-16 00:00:00,14.91,5.17,4622
act_2_42,2,Weekend Warrior,2025-02-22 00:00:00,10.84,4.59,2981
act_2_43,2,Weekend Warrior,2025-02-23 00:00:00,11.09,4.68,3113
act_2_48,2,Weekend Warrior,2025-02-28 00:00:00,8.07,4.99,2416
act_2_49,2,Weekend Warrior,2025-03-01 00:00:00,1.57,4.2,396
act_2_50,2,Weekend Warrior,2025-03-02 00:00:00,14.89,4.04,3605
act_2_53,2,Weekend Warrior,2025-03-05 00:00:00,19.66,5.67,6683
act_2_55,2,Weekend Warrior,2025-03-07 00:00:00,1.0,3.88,232
act_2_56,2,Weekend Warrior,2025-03-08 00:00:00,2.1,4.31,543
act_2_57,2,Weekend Warrior,2025-03-09 00:00:00,15.67,5.35,5027
act_2_63,2,Weekend Warrior,2025-03-15 00:00:00,11.89,4.47,3189
act_2_64,2,Weekend Warrior,2025-03-16 00:00:00,15.12,4.76,4316
act_2_67,2,Weekend Warrior,2025-03-19 00:00:00,11.57,4.22,2932
act_2_77,2,Weekend Warrior,2025-03-29 00:00:00,6.36,5.22,1992
act_2_78,2,Weekend Warrior,2025-03-30 00:00:00,26.1,5.16,8079
act_2_79,2,Weekend Warrior,2025-03-31 00:00:00,18.99,4.6,5245
act_2_85,2,Weekend Warrior,2025-04-06 00:00:00,1.0,4.93,295
act_2_91,2,Weekend Warrior,2025-04-12 00:00:00,20.84,4.76,5953
act_2_92,2,Weekend Warrior,2025-04-13 00:00:00,18.19,5.14,5610
act_2_95,2,Weekend Warrior,2025-04-16 00:00:00,15.22,5.35,4887
act_2_96,2,Weekend Warrior,2025-04-17 00:00:00,13.6,4.6,3752
act_2_99,2,Weekend Warrior,2025-04-20 00:00:00,2.12,4.66,593
act_2_105,2,Weekend Warrior,2025-04-26 00:00:00,2.33,5.25,735
act_2_106,2,Weekend Warrior,2025-04-27 00:00:00,12.93,4.45,3449
act_2_110,2,Weekend Warrior,2025-05-01 00:00:00,12.07,5.17,3746
act_2_114,2,Weekend Warrior,2025-05-05 00:00:00,12.92,4.92,3813
act_2_119,2,Weekend Warrior,2025-05-10 00:00:00,10.35,5.39,3349
act_3_6,3,Weekend Warrior,2025-02-01 00:00:00,13.2,4.26,3375
act_3_7,3,Weekend Warrior,2025-02-02 00:00:00,13.16,5.87,4635
